date_time,longitude,latitude,altitude
2023-04-17 08:17:00,23.8593,61.4483,77
2023-04-17 08:17:30,23.8592,61.4481,80
2023-04-17 08:18:00,23.8597,61.4479,79
2023-04-17 08:18:30,23.8598,61.4476,82
2023-04-17 08:19:00,23.8603,61.4474,89
2023-04-17 08:19:30,23.8605,61.4471,85
2023-04-17 08:20:00,23.8606,61.4469,87
